placement,augments,traits,champions
4,"['Lategame Specialist', 'Gifts from the Fallen']","[('Darkin', '1'), ('Empress', '1'), ('Technogenius', '1'), ('Wanderer', '1'), ('Bastion', '2'), ('Bruiser', '2'), ('Invoker', '2')]","[('ApexTurret', 0), ('Shen', '2'), ('Sejuani', '2'), ('Aatrox', '1'), (""Bel'Veth"", '2'), ('Ryze: Freljord', '2'), (""K'Sante"", '2'), ('Heimerdinger', '2'), ('Sion', '2'), ('Ahri', '2')]"
2,"['Red Buff', 'It Pays to Learn II']","[('Freljord', '3'), ('Shurima', '3'), ('Bastion', '2'), ('Bruiser', '2'), ('Deadeye', '2'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Ashe', '2'), ('Lissandra', '2'), ('Akshan', '3'), ('Nasus', '2'), ('Shen', '2'), ('Sejuani', '2'), (""K'Sante"", '1'), ('Sion', '1')]"
3,"['Silver Spoon', 'Portable Forge', 'Slayer Crest']","[('Slayer', '4'), ('Ionia', '3'), ('Noxus', '3'), ('Juggernaut', '2'), ('Rogue', '2')]","[('Sett', '2'), ('Kled', '2'), ('Zed', '3'), ('Katarina', '2'), ('Darius', '3'), ('Shen', '1'), ('Gwen', '2')]"
4,"['You Have My Bow', 'Unified Resistance I', 'Stable Evolution']","[('Void', '8'), ('Empress', '1'), ('Bruiser', '2'), ('Challenger', '2'), ('Sorcerer', '2')]","[('Malzahar', '2'), (""Cho'Gath"", '2'), ('Kassadin', '2'), (""Rek'Sai"", '1'), (""Vel'Koz"", '2'), ('Yasuo', '1'), (""Kai'Sa"", '1'), (""Bel'Veth"", '1')]"
7,"['Hustler', 'Last Stand', 'Dueling Gunners']","[('Gunner', '4'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2')]","[('Maokai', '2'), ('Poppy', '3'), ('Viego', '3'), ('Tristana', '3'), ('Jinx', '1'), ('Teemo', '2'), ('Jayce', '1')]"
7,"['Piltover Heart', 'Unified Resistance I', 'Money Money Money!']","[('Piltover', '3'), ('Zaun', '4'), ('Gunner', '3'), ('Freljord', '2'), ('Invoker', '2')]","[('T-Hex', 0), ('Jinx', '2'), ('Ekko', '2'), ('Jayce', '2'), ('Lissandra', '2'), ('Zeri', '1'), ('Shen', '2'), ('Urgot', '2'), ('Sejuani', '2')]"
2,"['Cruel Pact', 'Hedge Fund+', 'Ionia Crown']","[('Ionia', '6'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '3')]"
8,['Radiant Relics'],"[('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Slayer', '2')]","[('Tristana', '2'), ('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Kled', '1'), ('Galio', '2')]"
4,"['Gifts from the Fallen', ""Sentinel's Spirit""]","[('Ionia', '6'), ('Technogenius', '1'), ('Challenger', '5'), ('Invoker', '2'), ('Juggernaut', '2')]","[('ApexTurret', 0), ('Irelia', '2'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '2'), ('Shen', '1'), ('Yasuo', '2'), (""Kai'Sa"", '2'), ('Heimerdinger', '1'), ('Ahri', '1')]"
1,"['Bastion Crest', 'Money Money Money!']","[('Darkin', '1'), ('Technogenius', '1'), ('Bastion', '4'), ('Slayer', '4'), ('Demacia', '3'), ('Yordle', '3'), ('Juggernaut', '2'), ('Shadow Isles', '2')]","[('ApexTurret', 0), ('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Galio', '2'), ('Kled', '2'), ('Gwen', '2'), ('Aatrox', '1'), (""K'Sante"", '2'), ('Heimerdinger', '2')]"
