placement,augments,traits,champions
5,"['Not Today', 'Long Distance Pals II', 'Defensive Dash']","[('Shadow Isles', '4'), ('Redeemer', '1'), ('Challenger', '4'), ('Ionia', '3'), ('Bastion', '2')]","[('Irelia', '2'), ('Kalista', '2'), ('Shen', '1'), ('Yasuo', '2'), (""Kai'Sa"", '2'), ('Gwen', '2'), ('Senna', '1')]"
4,"['Unified Resistance I', 'Gunner Heart', 'Gunner Crown']","[('Gunner', '6'), ('Redeemer', '1'), ('Technogenius', '1'), ('Shadow Isles', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Zaun', '2')]","[('ApexTurret', 0), ('Poppy', '2'), ('Maokai', '3'), ('Viego', '3'), ('Tristana', '3'), ('Jinx', '2'), ('Zeri', '2'), ('Heimerdinger', '1'), ('Senna', '1')]"
4,"['Ionia Crown', 'Challenger Crown', 'Long Distance Pals II']","[('Challenger', '6'), ('Ionia', '6'), ('Redeemer', '1'), ('Invoker', '2'), ('Juggernaut', '2'), ('Shadow Isles', '2')]","[('Irelia', '1'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '2'), ('Kalista', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Senna', '2')]"
1,"['Cruel Pact', 'Cybernetic Bulk I', 'Capricious Forge']","[('Strategist', '3'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Garen', '2'), ('Nasus', '2'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '3')]"
2,"['Bruiser Crown', 'Cybernetic Leech III', 'Freljord Soul']","[('Bruiser', '6'), ('Freljord', '3'), ('Technogenius', '1'), ('Void', '3'), ('Sorcerer', '2')]","[('ApexTurret', 0), (""Cho'Gath"", '2'), ('Vi', '2'), ('Lissandra', '2'), (""Rek'Sai"", '3'), (""Kai'Sa"", '2'), ('Sejuani', '2'), ('Heimerdinger', '1'), ('Sion', '1'), ('Ahri', '2')]"
2,"['Stable Evolution', 'Missed Connections', 'Phreaky Friday+']","[('Void', '7'), ('Bruiser', '2'), ('Challenger', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[(""Cho'Gath"", '2'), ('Malzahar', '3'), ('Kassadin', '3'), ('Sona', '1'), (""Vel'Koz"", '3'), (""Rek'Sai"", '3'), ('Yasuo', '2'), (""Kai'Sa"", '2')]"
4,"['All That Shimmers', 'Challenger Heart', 'Long Distance Pals II']","[('Challenger', '8'), ('Empress', '1'), ('Ionia', '3'), ('Shadow Isles', '2')]","[('Irelia', '2'), ('Warwick', '2'), ('Kalista', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Gwen', '2'), (""Bel'Veth"", '2')]"
8,"['Long Distance Pals II', 'Healing Orbs I', 'Tons of Stats!']","[('Yordle', '3'), ('Bastion', '2'), ('Gunner', '2'), ('Shadow Isles', '2')]","[('Maokai', '2'), ('Poppy', '3'), ('Viego', '3'), ('Tristana', '3'), ('Teemo', '2'), ('Jinx', '2')]"
5,"['Buried Treasures II', 'Sleight of Hand', 'Unified Resistance II']","[('Strategist', '3'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Garen', '2'), ('Nasus', '1'), ('Lux', '1'), ('Azir', '2'), ('Jarvan IV', '2')]"
1,"['Cruel Pact', 'Cybernetic Leech III', ""Tactician's Tools""]","[('Strategist', '4'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[('Teemo', '1'), ('Swain', '2'), ('Taliyah', '2'), ('Garen', '2'), ('Nasus', '2'), ('Azir', '2'), ('Jarvan IV', '2'), ('Lux', '3')]"
7,"['Medium-End Shopping', 'Job Well Done']","[('Ionia', '6'), ('Empress', '1'), ('Redeemer', '1'), ('Challenger', '2'), ('Invoker', '2')]","[('Irelia', '2'), ('Sett', '1'), ('Karma', '1'), ('Shen', '1'), ('Yasuo', '2'), (""Bel'Veth"", '1'), ('Senna', '1'), ('Ahri', '2')]"
7,"['Wandering Trainer', 'Giant Grab Bag', 'Social Distancing III']","[('Shadow Isles', '4'), ('Bastion', '2'), ('Challenger', '2'), ('Gunner', '2'), ('Juggernaut', '2'), ('Zaun', '2')]","[('Maokai', '2'), ('Warwick', '2'), ('Kalista', '3'), ('Nasus', '2'), ('Shen', '2'), ('Zeri', '2'), ('Gwen', '2')]"
4,"['Giant Grab Bag', 'Well-Earned Comforts III']","[('Strategist', '4'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Teemo', '2'), ('Garen', '2'), ('Nasus', '2'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2')]"
3,"['Tiny Grab Bag', 'Know Your Enemy']","[('Ionia', '6'), ('Redeemer', '1'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '1'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Senna', '1'), ('Ahri', '2')]"
2,"['Jeweled Lotus I', 'Contagion']","[('Deadeye', '4'), ('Freljord', '3'), ('Shurima', '3'), ('Bruiser', '2')]","[('Renekton', '2'), ('Ashe', '2'), ('Lissandra', '2'), ('Akshan', '3'), ('Nasus', '2'), ('Aphelios', '2'), ('Urgot', '2'), ('Sejuani', '2')]"
8,"['Big Grab Bag', 'Magic Wand']","[('Demacia', '5'), ('Shurima', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Strategist', '2')]","[('Taliyah', '2'), ('Sona', '2'), ('Garen', '2'), ('Nasus', '1'), ('Lux', '1'), ('Jarvan IV', '1'), ('Azir', '2')]"
1,"['Noxus Crest', 'Healing Orbs II']","[('Noxus', '6'), ('Challenger', '2'), ('Juggernaut', '2'), ('Rogue', '2'), ('Strategist', '2'), ('Zaun', '2')]","[('Samira', '2'), ('Warwick', '1'), ('Swain', '2'), ('Kled', '2'), ('Ekko', '2'), ('Katarina', '3'), ('Darius', '3'), ('Azir', '1'), (""K'Sante"", '1')]"
5,"['Big Grab Bag', 'Well-Earned Comforts III']","[('Strategist', '3'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Garen', '2'), ('Nasus', '1'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2')]"
5,"['Big Grab Bag', 'Long Distance Pals II']","[('Strategist', '4'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Teemo', '2'), ('Garen', '2'), ('Nasus', '2'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2')]"
8,"['Titanic Strength', 'Transfusion I', 'Bruiser Crest']","[('Bruiser', '6'), ('Void', '6'), ('Empress', '1')]","[(""Cho'Gath"", '2'), ('Kassadin', '1'), ('Vi', '2'), (""Vel'Koz"", '1'), (""Rek'Sai"", '2'), (""Kai'Sa"", '1'), ('Sejuani', '1'), (""Bel'Veth"", '1'), ('Sion', '1')]"
7,"['Medium-End Shopping', 'Job Well Done']","[('Ionia', '6'), ('Empress', '1'), ('Redeemer', '1'), ('Challenger', '2'), ('Invoker', '2')]","[('Irelia', '2'), ('Sett', '1'), ('Karma', '1'), ('Shen', '1'), ('Yasuo', '2'), (""Bel'Veth"", '1'), ('Senna', '1'), ('Ahri', '2')]"
7,"['Wandering Trainer', 'Giant Grab Bag', 'Social Distancing III']","[('Shadow Isles', '4'), ('Bastion', '2'), ('Challenger', '2'), ('Gunner', '2'), ('Juggernaut', '2'), ('Zaun', '2')]","[('Maokai', '2'), ('Warwick', '2'), ('Kalista', '3'), ('Nasus', '2'), ('Shen', '2'), ('Zeri', '2'), ('Gwen', '2')]"
4,"['Giant Grab Bag', 'Well-Earned Comforts III']","[('Strategist', '4'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Teemo', '2'), ('Garen', '2'), ('Nasus', '2'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2')]"
3,"['Tiny Grab Bag', 'Know Your Enemy']","[('Ionia', '6'), ('Redeemer', '1'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '1'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Senna', '1'), ('Ahri', '2')]"
2,"['Jeweled Lotus I', 'Contagion']","[('Deadeye', '4'), ('Freljord', '3'), ('Shurima', '3'), ('Bruiser', '2')]","[('Renekton', '2'), ('Ashe', '2'), ('Lissandra', '2'), ('Akshan', '3'), ('Nasus', '2'), ('Aphelios', '2'), ('Urgot', '2'), ('Sejuani', '2')]"
8,"['Big Grab Bag', 'Magic Wand']","[('Demacia', '5'), ('Shurima', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Strategist', '2')]","[('Taliyah', '2'), ('Sona', '2'), ('Garen', '2'), ('Nasus', '1'), ('Lux', '1'), ('Jarvan IV', '1'), ('Azir', '2')]"
1,"['Noxus Crest', 'Healing Orbs II']","[('Noxus', '6'), ('Challenger', '2'), ('Juggernaut', '2'), ('Rogue', '2'), ('Strategist', '2'), ('Zaun', '2')]","[('Samira', '2'), ('Warwick', '1'), ('Swain', '2'), ('Kled', '2'), ('Ekko', '2'), ('Katarina', '3'), ('Darius', '3'), ('Azir', '1'), (""K'Sante"", '1')]"
5,"['Big Grab Bag', 'Well-Earned Comforts III']","[('Strategist', '3'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Garen', '2'), ('Nasus', '1'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2')]"
5,"['Big Grab Bag', 'Long Distance Pals II']","[('Strategist', '4'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Teemo', '2'), ('Garen', '2'), ('Nasus', '2'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2')]"
8,"['Titanic Strength', 'Transfusion I', 'Bruiser Crest']","[('Bruiser', '6'), ('Void', '6'), ('Empress', '1')]","[(""Cho'Gath"", '2'), ('Kassadin', '1'), ('Vi', '2'), (""Vel'Koz"", '1'), (""Rek'Sai"", '2'), (""Kai'Sa"", '1'), ('Sejuani', '1'), (""Bel'Veth"", '1'), ('Sion', '1')]"
3,"[""Three's Company"", 'Sorcerer Heart', 'Long Distance Pals II']","[('Sorcerer', '6'), ('Technogenius', '1'), ('Demacia', '3'), ('Multicaster', '2'), ('Strategist', '2')]","[('ApexTurret', 0), ('Swain', '2'), ('Sona', '2'), ('Taric', '2'), (""Vel'Koz"", '3'), ('Lux', '2'), ('Jarvan IV', '2'), ('Heimerdinger', '1'), ('Ahri', '1')]"
3,"['Noxus Crown', 'Ancient Archives II', 'Think Fast']","[('Juggernaut', '6'), ('Noxus', '6'), ('Darkin', '1'), ('Technogenius', '1'), ('Challenger', '2')]","[('ApexTurret', 0), ('Samira', '2'), ('Warwick', '2'), ('Katarina', '2'), ('Darius', '3'), ('Nasus', '1'), ('Heimerdinger', '1'), ('Sion', '1'), ('Aatrox', '1')]"
7,"['Radiant Relics', 'Last Stand', 'Long Distance Pals II']","[('Freljord', '3'), ('Technogenius', '1'), ('Bastion', '2'), ('Bruiser', '2'), ('Deadeye', '2'), ('Sorcerer', '2'), ('Targon', '2')]","[('ApexTurret', 0), ('Ashe', '2'), ('Taric', '2'), ('Lissandra', '2'), ('Aphelios', '2'), ('Sejuani', '2'), (""K'Sante"", '1'), ('Heimerdinger', '1'), ('Sion', '1')]"
3,"['Patient Study', 'Roll The Dice', 'Jeweled Lotus I']","[('Darkin', '1'), ('Empress', '1'), ('Technogenius', '1'), ('Wanderer', '1'), ('Challenger', '3'), ('Ionia', '3'), ('Invoker', '2'), ('Slayer', '2')]","[('ApexTurret', 0), ('Irelia', '2'), (""Kai'Sa"", '1'), ('Yasuo', '2'), ('Shen', '2'), ('Gwen', '2'), ('Ryze: Demacia', '1'), ('Heimerdinger', '1'), ('Aatrox', '1'), (""Bel'Veth"", '2')]"
1,"['Risky Moves', 'Jeweled Lotus I', 'Cybernetic Leech II']","[('Strategist', '4'), ('Shurima', '4'), ('Demacia', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[('Swain', '1'), ('Taliyah', '2'), ('Teemo', '2'), ('Garen', '2'), ('Nasus', '2'), ('Lux', '2'), ('Jarvan IV', '2'), ('Azir', '3')]"
7,"[""Sentinel's Spirit"", 'Gargantuan Resolve', 'Know Your Enemy']","[('Empress', '1'), ('Redeemer', '1'), ('Ionia', '3'), ('Juggernaut', '2'), ('Shadow Isles', '2'), ('Sorcerer', '2')]","[('Warwick', '1'), ('Sona', '1'), ('Karma', '1'), ('Taric', '2'), ('Nasus', '2'), ('Gwen', '2'), (""Bel'Veth"", '1'), ('Senna', '2'), ('Ahri', '2')]"
6,"['Inconsistency', 'The Boss', 'Jeweled Lotus II']","[('Challenger', '4'), ('Juggernaut', '4'), ('Ionia', '3')]","[('Irelia', '2'), ('Sett', '3'), ('Warwick', '3'), ('Darius', '1'), ('Garen', '2'), ('Yasuo', '1'), (""Kai'Sa"", '2')]"
1,"['Inconsistency', 'Long Distance Pals II', 'Social Distancing II']","[('Challenger', '6'), ('Ionia', '3'), ('Bruiser', '2'), ('Juggernaut', '2')]","[('Irelia', '2'), ('Warwick', '2'), ('Sett', '3'), ('Kalista', '2'), ('Jarvan IV', '1'), ('Yasuo', '2'), ('Sejuani', '2'), (""Kai'Sa"", '3'), ('Sion', '2')]"
5,"['Shimmering Inventors', 'Chemtech Enhancements', 'Tons of Stats!']","[('Gunner', '4'), ('Piltover', '3'), ('Redeemer', '1'), ('Zaun', '4'), ('Bruiser', '2')]","[('T-Hex', 0), ('Warwick', '2'), ('Vi', '3'), ('Jinx', '3'), ('Jayce', '2'), ('Ekko', '3'), ('Zeri', '1'), ('Senna', '1'), ('Sion', '1')]"
6,"['Magic Wand', 'Know Your Enemy', 'Capricious Forge']","[('Technogenius', '1'), ('Challenger', '4'), ('Ionia', '4'), ('Bastion', '2'), ('Sorcerer', '2')]","[('ApexTurret', 0), ('Irelia', '1'), ('Warwick', '2'), ('Taric', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Heimerdinger', '1'), ('Ahri', '1')]"
3,"[""Three's Company"", 'Sorcerer Heart', 'Long Distance Pals II']","[('Sorcerer', '6'), ('Technogenius', '1'), ('Demacia', '3'), ('Multicaster', '2'), ('Strategist', '2')]","[('ApexTurret', 0), ('Swain', '2'), ('Sona', '2'), ('Taric', '2'), (""Vel'Koz"", '3'), ('Lux', '2'), ('Jarvan IV', '2'), ('Heimerdinger', '1'), ('Ahri', '1')]"
3,"['Noxus Crown', 'Ancient Archives II', 'Think Fast']","[('Juggernaut', '6'), ('Noxus', '6'), ('Darkin', '1'), ('Technogenius', '1'), ('Challenger', '2')]","[('ApexTurret', 0), ('Samira', '2'), ('Warwick', '2'), ('Katarina', '2'), ('Darius', '3'), ('Nasus', '1'), ('Heimerdinger', '1'), ('Sion', '1'), ('Aatrox', '1')]"
7,"['Radiant Relics', 'Last Stand', 'Long Distance Pals II']","[('Freljord', '3'), ('Technogenius', '1'), ('Bastion', '2'), ('Bruiser', '2'), ('Deadeye', '2'), ('Sorcerer', '2'), ('Targon', '2')]","[('ApexTurret', 0), ('Ashe', '2'), ('Taric', '2'), ('Lissandra', '2'), ('Aphelios', '2'), ('Sejuani', '2'), (""K'Sante"", '1'), ('Heimerdinger', '1'), ('Sion', '1')]"
3,"['Patient Study', 'Roll The Dice', 'Jeweled Lotus I']","[('Darkin', '1'), ('Empress', '1'), ('Technogenius', '1'), ('Wanderer', '1'), ('Challenger', '3'), ('Ionia', '3'), ('Invoker', '2'), ('Slayer', '2')]","[('ApexTurret', 0), ('Irelia', '2'), (""Kai'Sa"", '1'), ('Yasuo', '2'), ('Shen', '2'), ('Gwen', '2'), ('Ryze: Demacia', '1'), ('Heimerdinger', '1'), ('Aatrox', '1'), (""Bel'Veth"", '2')]"
1,"['Risky Moves', 'Jeweled Lotus I', 'Cybernetic Leech II']","[('Strategist', '4'), ('Shurima', '4'), ('Demacia', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[('Swain', '1'), ('Taliyah', '2'), ('Teemo', '2'), ('Garen', '2'), ('Nasus', '2'), ('Lux', '2'), ('Jarvan IV', '2'), ('Azir', '3')]"
7,"[""Sentinel's Spirit"", 'Gargantuan Resolve', 'Know Your Enemy']","[('Empress', '1'), ('Redeemer', '1'), ('Ionia', '3'), ('Juggernaut', '2'), ('Shadow Isles', '2'), ('Sorcerer', '2')]","[('Warwick', '1'), ('Sona', '1'), ('Karma', '1'), ('Taric', '2'), ('Nasus', '2'), ('Gwen', '2'), (""Bel'Veth"", '1'), ('Senna', '2'), ('Ahri', '2')]"
6,"['Inconsistency', 'The Boss', 'Jeweled Lotus II']","[('Challenger', '4'), ('Juggernaut', '4'), ('Ionia', '3')]","[('Irelia', '2'), ('Sett', '3'), ('Warwick', '3'), ('Darius', '1'), ('Garen', '2'), ('Yasuo', '1'), (""Kai'Sa"", '2')]"
1,"['Inconsistency', 'Long Distance Pals II', 'Social Distancing II']","[('Challenger', '6'), ('Ionia', '3'), ('Bruiser', '2'), ('Juggernaut', '2')]","[('Irelia', '2'), ('Warwick', '2'), ('Sett', '3'), ('Kalista', '2'), ('Jarvan IV', '1'), ('Yasuo', '2'), ('Sejuani', '2'), (""Kai'Sa"", '3'), ('Sion', '2')]"
5,"['Shimmering Inventors', 'Chemtech Enhancements', 'Tons of Stats!']","[('Gunner', '4'), ('Piltover', '3'), ('Redeemer', '1'), ('Zaun', '4'), ('Bruiser', '2')]","[('T-Hex', 0), ('Warwick', '2'), ('Vi', '3'), ('Jinx', '3'), ('Jayce', '2'), ('Ekko', '3'), ('Zeri', '1'), ('Senna', '1'), ('Sion', '1')]"
6,"['Magic Wand', 'Know Your Enemy', 'Capricious Forge']","[('Technogenius', '1'), ('Challenger', '4'), ('Ionia', '4'), ('Bastion', '2'), ('Sorcerer', '2')]","[('ApexTurret', 0), ('Irelia', '1'), ('Warwick', '2'), ('Taric', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Heimerdinger', '1'), ('Ahri', '1')]"
1,"['Two Healthy', 'Golden Ticket', 'Social Distancing I']","[('Technogenius', '1'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Strategist', '2')]","[('ApexTurret', 0), ('Taliyah', '1'), ('Warwick', '1'), ('Swain', '2'), ('Warwick', '2'), ('Sett', '3'), ('Taliyah', '3'), ('Teemo', '3'), ('Heimerdinger', '1')]"
7,"['A Cut Above', 'You Have My Sword', 'Contagion']","[('Deadeye', '4'), ('Freljord', '3'), ('Shurima', '3'), ('Bruiser', '2')]","[('Renekton', '1'), ('Ashe', '2'), ('Lissandra', '2'), ('Akshan', '2'), ('Sejuani', '1'), ('Nasus', '2'), ('Aphelios', '2'), ('Urgot', '2')]"
8,"['Metabolic Accelerator', 'Jeweled Lotus I', 'Infernal Contract']","[('Slayer', '3'), ('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2'), ('Strategist', '2')]","[('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Teemo', '2'), ('Kled', '2'), ('Jarvan IV', '1'), ('Gwen', '2')]"
5,"['Two Healthy', 'Roll The Dice', 'Cybernetic Leech I']","[('Strategist', '3'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Garen', '1'), ('Nasus', '2'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2'), ('Sion', '2')]"
6,"['Jeweled Lotus I', 'Cybernetic Leech II', 'Cybernetic Bulk II']","[('Noxus', '6'), ('Juggernaut', '2')]","[('Cassiopeia', '1'), ('Samira', '2'), ('Swain', '2'), ('Kled', '2'), ('Katarina', '2'), ('Darius', '2'), ('Nasus', '2')]"
4,"['Gifts from the Fallen', 'Cybernetic Leech I', 'Long Distance Pals II']","[('Noxus', '6'), ('Shurima', '3'), ('Juggernaut', '2'), ('Rogue', '2'), ('Strategist', '2')]","[('Cassiopeia', '2'), ('Swain', '2'), ('Katarina', '2'), ('Katarina', '2'), ('Ekko', '2'), ('Darius', '3'), ('Nasus', '2'), ('Azir', '2')]"
4,"['Tons of Stats!', 'Portable Forge', 'Challenger Crest']","[('Challenger', '6'), ('Empress', '1'), ('Ionia', '3'), ('Bastion', '2')]","[('Irelia', '2'), ('Warwick', '2'), ('Kalista', '3'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), (""Bel'Veth"", '1'), (""K'Sante"", '1')]"
3,"['Cybernetic Leech I', ""Sentinel's Spirit"", 'Healing Orbs II']","[('Ionia', '6'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Ahri', '1')]"
7,"['Slayer Crown', 'Slayer Crest', 'Long Distance Pals II']","[('Slayer', '4'), ('Ionia', '3'), ('Noxus', '3'), ('Juggernaut', '2'), ('Rogue', '2')]","[('Zed', '2'), ('Sett', '2'), ('Kled', '2'), ('Katarina', '2'), ('Darius', '3'), ('Shen', '1')]"
1,"['Trade Sector', 'Social Distancing III', 'Contagion']","[('Ionia', '6'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '3'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Ahri', '1')]"
1,"['Two Healthy', 'Golden Ticket', 'Social Distancing I']","[('Technogenius', '1'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Strategist', '2')]","[('ApexTurret', 0), ('Taliyah', '1'), ('Warwick', '1'), ('Swain', '2'), ('Warwick', '2'), ('Sett', '3'), ('Taliyah', '3'), ('Teemo', '3'), ('Heimerdinger', '1')]"
7,"['A Cut Above', 'You Have My Sword', 'Contagion']","[('Deadeye', '4'), ('Freljord', '3'), ('Shurima', '3'), ('Bruiser', '2')]","[('Renekton', '1'), ('Ashe', '2'), ('Lissandra', '2'), ('Akshan', '2'), ('Sejuani', '1'), ('Nasus', '2'), ('Aphelios', '2'), ('Urgot', '2')]"
8,"['Metabolic Accelerator', 'Jeweled Lotus I', 'Infernal Contract']","[('Slayer', '3'), ('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2'), ('Strategist', '2')]","[('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Teemo', '2'), ('Kled', '2'), ('Jarvan IV', '1'), ('Gwen', '2')]"
5,"['Two Healthy', 'Roll The Dice', 'Cybernetic Leech I']","[('Strategist', '3'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Garen', '1'), ('Nasus', '2'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2'), ('Sion', '2')]"
